origin,destination,distance
17,19,394.25
17,20,754.83
17,21,469.84
17,22,1214.07
17,23,1551.73
17,24,1011.97
17,25,1414.48
17,26,384.6
17,27,602.36
17,28,978.31
17,29,459.89
17,30,1925.67
17,31,740.59
17,32,2435.71
17,33,1406.87
17,34,1176.83
17,35,1739.49
17,36,1149.9
17,37,993.28
17,38,1106.2
17,39,479.23
17,40,973.76
17,41,2789.43
17,42,964.33
17,44,1408.74
17,45,1038.84
17,46,912.82
17,47,636.47
17,48,1408.74
17,49,1981.73
17,50,1307.09
17,51,987.43
17,53,2709.81
17,54,711.87
17,55,273.84
17,56,1544.12
17,72,3310.96
18,1,794.75
18,2,4763.61
18,4,2397.08
18,5,791.51
18,6,2938.68
18,8,1616.74
18,9,1135.38
18,10,920.13
18,11,804.59
18,12,1433.9
18,13,778.47
18,15,6958.25
18,16,2419.51
18,17,221.19
18,19,603.46
18,20,893.7
18,21,270.61
18,22,1152.95
18,23,1431.91
18,24,817.35
18,25,1268.51
18,26,347.24
18,27,819.88
18,28,893.23
18,29,549.44
18,30,2144.29
18,31,932.82
18,32,2614.57
18,33,1273.52
18,34,1004.03
18,35,1875.26
18,36,992.78
18,37,772.3
18,38,1326.46
18,39,295.15
18,40,1058.71
18,41,3002.79
18,42,788.82
18,44,1255.7
18,45,825.57
18,46,1129.6
18,47,481.29
18,48,1434.32
18,49,2175.19
18,50,1191.21
18,51,776.92
18,53,2928.06
18,54,501.38
18,55,460.12
18,56,1749.3
18,72,3092.56
19,1,1136.85
19,2,4248.14
19,4,1908.93
19,5,750.53
19,6,2384.38
19,8,1057.98
19,9,1671.96
19,10,1502.81
19,11,1396.75
19,12,1879.33
19,13,1243.52
19,15,6380.09
19,16,1816.2
19,17,394.25
19,18,603.46
19,20,479.66
19,21,805.25
19,22,1259.04
19,23,1902.75
19,24,1406.1
19,25,1786.65
19,26,732.34
19,27,364.6
19,28,1086.25
19,29,395.95
19,30,1546.79
19,31,358.94
19,32,2055.01
19,33,1770.28
19,34,1565.05
19,35,1417.04
19,36,1530.99
19,37,1359.02
19,38,786.43
19,39,873.37
19,40,778.39
19,41,2399.35
19,42,1354.56
19,44,1785.47
19,45,1373.25
19,46,530.79
19,47,894.39
19,48,1285.83
19,49,1590.98
19,50,1658.36
19,51,1379.06
19,53,2328.92
19,54,1103.21
19,55,382.71
19,56,1149.87
19,72,3649.28
20,1,1062.55
20,2,4371.65
20,4,1503.86
20,5,491.73
20,6,2061.14
20,8,767.83
20,9,2028.27
20,10,1805.61
20,11,1682.61
20,12,1811.94
20,13,1259.91
20,15,6093.31
20,16,1692.26
20,17,754.83
20,18,893.7
20,19,479.66
20,21,977.8
20,22,977.1
20,23,2305.56
20,24,1699.07
20,25,2158.34
20,26,1138.01
20,27,783.23
20,28,903.05
20,29,363.89
20,30,1525.76
20,31,307.07
20,32,1743.94
20,33,2156.81
20,34,1897.08
20,35,985.88
20,36,1885.52
20,37,1520.86
20,38,1016.5
20,39,1188.79
20,40,322.38
20,41,2276.28
20,42,1681.83
20,44,2147.89
20,45,1467.71
20,46,647.89
20,47,941.23
20,48,847.02
20,49,1350.91
20,50,2061.2
20,51,1630.47
20,53,2266.74
20,54,1367.02
20,55,850.0
20,56,1008.56
20,72,3675.19
21,1,553.57
21,2,5018.61
21,4,2451.4
21,5,728.24
21,6,3038.07
21,8,1737.95
21,9,1135.1
21,10,861.01
21,11,729.31
21,12,1163.3
21,13,508.21
21,15,7071.05
21,16,2598.41
21,17,469.84
21,18,270.61
21,19,805.25
21,20,977.8
21,22,978.62
21,23,1481.3
21,24,750.82
21,25,1282.04
21,26,566.54
21,27,1070.3
21,28,704.47
21,29,614.03
21,30,2349.64
21,31,1091.04
21,32,2721.74
21,33,1307.49
21,34,978.65
21,35,1921.78
21,36,999.04
21,37,560.39
21,38,1567.1
21,39,359.22
