origin,destination,total_flow
17,30,143.0
17,40,15.0
17,5,271.0
17,4,23251.0
17,35,474.0
17,13,13306.0
17,1,10862.0
17,28,9.0
17,48,738.0
17,22,218010.0
17,12,46.0
17,50,168992.0
17,2,833.0
17,15,202613.0
17,33,25938.0
17,27,128.0
17,25,13.0
17,41,9.0
32,23,788.0
32,26,8406.0
32,36,2991.0
32,44,321.0
32,16,823.0
32,55,31742.0
32,9,2712.0
32,46,120173.0
32,56,477371.0
32,34,962.0
32,42,1326.0
32,53,61.0
32,19,70.0
32,39,915.0
32,10,938.0
32,24,5365.0
32,31,63311.0
32,11,675.0
32,18,26965.0
32,17,2130.0
32,54,2288.0
32,38,6776.0
32,49,63.0
32,51,1916.0
32,8,3046.0
32,6,8153.0
32,29,2823.0
32,21,12255.0
32,20,3780.0
32,37,29721.0
32,47,2933.0
32,45,3780.0
32,30,2747.0
32,40,50.0
32,5,621.0
32,4,601480.0
32,35,1640.0
32,13,248893.0
32,1,3896.0
32,28,16.0
32,48,1936.0
32,22,9127.0
32,12,216.0
32,50,281455.0
32,2,15799.0
32,15,6854.0
32,33,274779.0
32,27,317.0
32,25,49.0
32,41,26.0
54,23,1429.0
54,26,13532.0
54,36,4802.0
54,44,1730.0
54,16,28704.0
54,55,8036.0
54,9,2680.0
54,46,1603.0
54,56,3332.0
54,34,1343.0
54,42,1734.0
54,53,2115.0
54,19,113.0
54,39,1405.0
54,10,1444.0
54,24,4251.0
54,31,3255.0
54,11,1008.0
54,18,3290.0
54,17,3534.0
54,32,2288.0
54,38,506641.0
54,49,128.0
54,51,2453.0
54,8,5081.0
54,6,10439.0
54,29,4109.0
54,21,771.0
54,20,5164.0
54,37,4006.0
54,47,148381.0
54,45,5416.0
54,30,1337.0
54,40,89.0
54,5,1342.0
54,4,1014.0
54,35,2557.0
54,13,80704.0
54,1,884125.0
54,28,46.0
54,48,3031.0
54,22,392576.0
54,12,334.0
54,50,3519939.0
54,2,2733.0
54,15,3390.0
54,33,65172.0
54,27,509.0
54,25,97.0
54,41,72.0
38,23,7248.0
38,26,39411.0
38,36,16268.0
38,44,2737.0
38,16,16885.0
38,55,28206.0
38,9,9333.0
38,46,6426.0
38,56,11905.0
38,34,5411.0
38,42,9701.0
38,53,428.0
38,19,493.0
38,39,4463.0
38,10,4256.0
38,24,13505.0
38,31,11109.0
38,11,5255.0
38,18,15321.0
38,17,3413.0
38,32,6776.0
38,54,506641.0
38,49,507.0
38,51,7341.0
38,8,1800372.0
38,6,27217.0
38,29,12330.0
38,21,1717.0
38,20,15523.0
38,37,16803.0
38,47,27654.0
38,45,14341.0
38,30,7583.0
38,40,341.0
38,5,4666.0
38,4,2534.0
38,35,10051.0
38,13,886541.0
38,1,934452.0
38,28,173.0
38,48,8512.0
38,22,59059.0
38,12,1431.0
38,50,3265245.0
38,2,9153.0
38,15,6913.0
38,33,764312.0
38,27,1842.0
38,25,370.0
38,41,272.0
49,23,418.0
49,26,6371.0
49,36,2055.0
49,44,28.0
49,16,32.0
49,55,2482.0
49,9,1353.0
49,46,235.0
49,56,114.0
49,34,577.0
49,42,322.0
49,53,14.0
49,19,343967.0
49,39,4509.0
49,10,566743.0
49,24,4252.0
49,31,576.0
49,11,156.0
49,18,550.0
49,17,23.0
49,32,63.0
49,54,128.0
49,38,507.0
49,51,20516.0
49,8,67.0
49,6,132432.0
49,29,4108.0
49,21,31.0
49,20,4857.0
49,37,183.0
49,47,155.0
49,45,21809.0
49,30,146.0
49,40,16509.0
49,5,841.0
49,4,21.0
49,35,843.0
49,13,6768.0
49,1,122.0
49,28,429323.0
49,48,4935.0
49,22,521.0
49,12,415.0
49,50,12389.0
49,2,990.0
49,15,8.0
49,33,282.0
49,27,48020.0
49,25,384.0
49,41,155.0
51,23,10399.0
51,26,125926.0
51,36,51656.0
51,44,650.0
51,16,1205.0
51,55,48089.0
51,9,30196.0
51,46,4160.0
51,56,3121.0
51,34,21575.0
51,42,6080.0
51,53,263.0
51,19,11596.0
51,39,1842747.0
51,10,228239.0
51,24,54149.0
51,31,8995.0
51,11,4328.0
51,18,10101.0
51,17,676.0
51,32,1916.0
51,54,2453.0
51,38,7341.0
51,49,20516.0
51,8,1526.0
51,6,1481112.0
51,29,151050.0
51,21,585.0
51,20,102383.0
51,37,4197.0
51,47,2908.0
51,45,2146010.0
51,30,4019.0
51,40,52031.0
51,5,30097.0
51,4,791.0
51,35,25005.0
51,13,75578.0
51,1,2404.0
51,28,8288.0
51,48,173904.0
51,22,6926.0
51,12,17561.0
51,50,100728.0
51,2,17154.0
51,15,402.0
51,33,5159.0
51,27,734826.0
51,25,498190.0
51,41,63835.0
8,23,1037.0
8,26,9921.0
8,36,3153.0
8,44,523.0
8,16,1001.0
8,55,5083.0
8,9,1418.0
8,46,919.0
8,56,4565.0
8,34,711.0
8,42,1848.0
8,53,62.0
8,19,64.0
8,39,803.0
8,10,827.0
8,24,2350.0
8,31,2191.0
8,11,735.0
8,18,2763.0
8,17,363.0
8,32,3046.0
8,54,5081.0
8,38,1800372.0
8,49,67.0
8,51,1526.0
8,6,7073.0
8,29,2648.0
8,21,209.0
8,20,2962.0
8,37,9687.0
8,47,3849.0
8,45,3314.0
8,30,2363.0
8,40,59.0
8,5,753.0
8,4,773.0
8,35,1478.0
8,13,826996.0
8,1,7121.0
8,28,22.0
8,48,1797.0
8,22,10469.0
8,12,164.0
8,50,377527.0
8,2,1264.0
8,15,1273.0
8,33,792417.0
8,27,302.0
8,25,48.0
8,41,33.0
6,23,40771.0
6,26,222990.0
6,36,137416.0
6,44,2727.0
6,16,5617.0
6,55,200450.0
6,9,129746.0
6,46,25210.0
6,56,13424.0
6,34,74365.0
6,42,23417.0
6,53,1122.0
6,19,102170.0
6,39,481670.0
6,10,1510246.0
6,24,357063.0
6,31,56381.0
6,11,19809.0
6,18,48686.0
6,17,3332.0
6,32,8153.0
6,54,10439.0
6,38,27217.0
6,49,132432.0
6,51,1481112.0
6,8,7073.0
6,29,281355.0
6,21,2973.0
6,20,568606.0
6,37,17624.0
6,47,12135.0
6,45,4065530.0
6,30,19340.0
6,40,78246.0
6,5,80590.0
6,4,3750.0
6,35,76199.0
6,13,208158.0
6,1,10311.0
6,28,336904.0
6,48,382584.0
6,22,28137.0
6,12,91905.0
6,50,277340.0
6,2,101655.0
6,15,1870.0
6,33,20848.0
6,27,1658253.0
6,25,69601.0
6,41,32013.0
29,23,65205.0
29,26,1275208.0
29,36,716792.0
29,44,1008.0
29,16,1810.0
29,55,85779.0
29,9,71745.0
29,46,6382.0
29,56,5610.0
29,34,141227.0
29,42,13873.0
29,53,382.0
29,19,3000.0
29,39,457735.0
29,10,46954.0
29,24,42300.0
29,31,11654.0
29,11,11005.0
29,18,19050.0
29,17,1125.0
29,32,2823.0
29,54,4109.0
29,38,12330.0
29,49,4108.0
29,51,151050.0
29,8,2648.0
29,6,281355.0
29,21,763.0
29,20,250382.0
29,37,8111.0
29,47,3955.0
29,45,371455.0
29,30,7995.0
29,40,3704.0
29,5,2460053.0
29,4,922.0
29,35,109932.0
29,13,174236.0
29,1,4225.0
29,28,1548.0
29,48,4329474.0
29,22,8374.0
29,12,182182.0
29,50,176592.0
29,2,17592.0
29,15,644.0
29,33,8967.0
29,27,19931.0
29,25,31754.0
29,41,52138.0
21,23,130.0
21,26,2547.0
21,36,720.0
21,44,67.0
21,16,827.0
21,55,3078.0
21,9,719.0
21,46,5812.0
21,56,1956.0
21,34,224.0
21,42,154.0
21,53,486.0
21,19,21.0
21,39,312.0
21,10,321.0
21,24,3452.0
21,31,169843.0
21,11,79.0
21,18,1328.0
21,17,28592.0
21,32,12255.0
21,54,771.0
21,38,1717.0
21,49,31.0
21,51,585.0
21,8,209.0
21,6,2973.0
21,29,763.0
21,20,1286.0
21,37,545.0
21,47,1172.0
21,45,1240.0
21,30,184.0
21,40,7.0
21,5,171.0
21,4,220299.0
21,35,400.0
21,13,12690.0
21,1,754.0
21,28,5.0
21,48,499.0
21,22,5171.0
21,12,30.0
21,50,89584.0
21,2,7642.0
21,15,1839.0
21,33,4918.0
21,27,95.0
21,25,10.0
21,41,3.0
20,23,22843.0
20,26,288781.0
20,36,115504.0
20,44,1177.0
20,16,2240.0
20,55,565108.0
20,9,2031502.0
20,46,18413.0
20,56,6805.0
20,34,850517.0
20,42,12595.0
20,53,454.0
20,19,4242.0
20,39,201092.0
20,10,56872.0
20,24,1503067.0
20,31,58010.0
20,11,9018.0
20,18,58334.0
20,17,1225.0
20,32,3780.0
20,54,5164.0
20,38,15523.0
20,49,4857.0
20,51,102383.0
20,8,2962.0
20,6,568606.0
20,29,250382.0
20,21,1286.0
20,37,10164.0
20,47,5983.0
20,45,1178511.0
20,30,11466.0
20,40,3398.0
20,5,40285.0
20,4,1480.0
20,35,138527.0
20,13,221244.0
20,1,4906.0
20,28,2176.0
20,48,519837.0
20,22,14693.0
20,12,915912.0
20,50,286524.0
20,2,89955.0
20,15,706.0
20,33,10679.0
20,27,25629.0
20,25,8572.0
20,41,19373.0
37,23,8089.0
37,26,45393.0
37,36,16200.0
37,44,417.0
37,16,1052.0
37,55,61998.0
37,9,8764.0
37,46,12825.0
37,56,1717117.0
37,34,4572.0
37,42,33169.0
37,53,78.0
37,19,182.0
37,39,2545.0
37,10,2261.0
37,24,8199.0
37,31,14472.0
37,11,16886.0
37,18,112887.0
37,17,519.0
37,32,29721.0
37,54,4006.0
37,38,16803.0
37,49,183.0
37,51,4197.0
37,8,9687.0
37,6,17624.0
37,29,8111.0
37,21,545.0
37,20,10164.0
37,47,4721.0
37,45,9214.0
37,30,415538.0
37,40,117.0
37,5,2881.0
37,4,1971.0
37,35,11708.0
37,13,2527915.0
37,1,4678.0
37,28,58.0
37,48,5253.0
37,22,12889.0
37,12,691.0
37,50,273542.0
37,2,9038.0
37,15,749.0
37,33,100851.0
37,27,825.0
37,25,177.0
37,41,109.0
47,23,1584.0
47,26,12053.0
47,36,4925.0
47,44,2485.0
47,16,755373.0
47,55,9976.0
47,9,3308.0
47,46,3248.0
47,56,3962.0
47,34,1555.0
47,42,1729.0
47,53,7767.0
47,19,147.0
47,39,1637.0
47,10,1572.0
47,24,5671.0
47,31,7459.0
